name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gpp,2,12,612,0.022,0,0,%,0.042
binarytrees,gpp,2,16,612,0.415,0,0,%,0.419
binarytrees,gpp,2,20,612,9.279,0,0,%,9.284
binarytrees,gpp,2,20,612,9.549,0,0,%,9.552
binarytrees,gpp,2,20,612,9.296,0,0,%,9.299
binarytrees,gpp,2,20,612,9.380,0,0,%,9.386
binarytrees,gpp,2,20,612,9.305,0,0,%,9.308
binarytrees,gpp,2,20,612,9.331,0,0,%,9.340
binarytrees,chpl,1,12,915,0.100,0,0,%,0.040
binarytrees,chpl,1,16,915,0.687,0,0,%,0.143
binarytrees,chpl,1,20,915,12.622,0,0,%,1.823
binarytrees,chpl,1,20,915,12.665,0,0,%,1.839
binarytrees,chpl,1,20,915,12.659,0,0,%,1.854
binarytrees,chpl,1,20,915,12.649,0,0,%,1.833
binarytrees,chpl,1,20,915,12.616,0,0,%,1.825
binarytrees,chpl,1,20,915,12.608,0,0,%,1.820
binarytrees,gcc,5,12,1044,0.028,0,0,%,0.013
binarytrees,gcc,5,16,1044,0.707,0,0,%,0.126
binarytrees,gcc,5,20,1044,15.815,0,0,%,2.244
binarytrees,gcc,5,20,1044,15.485,0,0,%,2.253
binarytrees,gcc,5,20,1044,15.427,0,0,%,2.248
binarytrees,gcc,5,20,1044,15.675,0,0,%,2.249
binarytrees,gcc,5,20,1044,15.760,0,0,%,2.473
binarytrees,gcc,5,20,1044,15.572,0,0,%,2.247
binarytrees,gcc,1,12,842,0.018,0,0,%,0.022
binarytrees,gcc,1,16,842,0.370,0,0,%,0.373
binarytrees,gcc,1,20,842,8.154,0,0,%,8.158
binarytrees,gcc,1,20,842,8.234,0,0,%,8.237
binarytrees,gcc,1,20,842,8.187,0,0,%,8.189
binarytrees,gcc,1,20,842,8.262,0,0,%,8.264
binarytrees,gcc,1,20,842,8.152,0,0,%,8.154
binarytrees,gcc,1,20,842,8.154,0,0,%,8.157
chameneosredux,chpl,2,60000,2822,0.290,0,0,%,0.078
chameneosredux,chpl,2,600000,2822,2.404,0,0,%,0.356
chameneosredux,chpl,2,6000000,2822,23.875,0,0,%,3.287
chameneosredux,chpl,2,6000000,2822,24.670,0,0,%,3.388
chameneosredux,chpl,2,6000000,2822,23.248,0,0,%,3.086
chameneosredux,chpl,2,6000000,2822,24.182,0,0,%,3.227
chameneosredux,chpl,2,6000000,2822,24.220,0,0,%,3.269
chameneosredux,chpl,2,6000000,2822,24.068,0,0,%,3.131
chameneosredux,chpl,1,60000,2898,0.537,0,0,%,0.084
chameneosredux,chpl,1,600000,2898,4.665,0,0,%,0.538
chameneosredux,chpl,1,6000000,2898,44.307,0,0,%,5.136
chameneosredux,chpl,1,6000000,2898,42.671,0,0,%,4.852
chameneosredux,chpl,1,6000000,2898,46.120,0,0,%,5.266
chameneosredux,chpl,1,6000000,2898,42.931,0,0,%,4.888
chameneosredux,chpl,1,6000000,2898,45.619,0,0,%,5.133
chameneosredux,chpl,1,6000000,2898,43.503,0,0,%,4.965
chameneosredux,gcc,5,60000,3025,0.050,0,0,%,0.015
chameneosredux,gcc,5,600000,3025,0.335,0,0,%,0.084
chameneosredux,gcc,5,6000000,3025,5.053,0,0,%,0.801
chameneosredux,gcc,5,6000000,3025,5.557,0,0,%,0.846
chameneosredux,gcc,5,6000000,3025,4.637,0,0,%,0.749
chameneosredux,gcc,5,6000000,3025,4.937,0,0,%,0.726
chameneosredux,gcc,5,6000000,3025,5.045,0,0,%,0.789
chameneosredux,gcc,5,6000000,3025,4.242,0,0,%,0.668
chameneosredux,gcc,2,60000,1916,0.775,0,0,%,0.119
chameneosredux,gcc,2,600000,1916,6.451,0,0,%,0.957
chameneosredux,gcc,2,6000000,1916,55.600,0,0,%,8.189
chameneosredux,gcc,2,6000000,1916,67.472,0,0,%,9.848
chameneosredux,gcc,2,6000000,1916,56.687,0,0,%,8.388
chameneosredux,gcc,2,6000000,1916,69.524,0,0,%,10.279
chameneosredux,gcc,2,6000000,1916,56.053,0,0,%,8.065
chameneosredux,gcc,2,6000000,1916,65.648,0,0,%,9.633
fannkuchredux,gcc,2,10,1934,0.185,0,0,%,0.055
fannkuchredux,gcc,2,11,1934,2.330,0,0,%,0.611
fannkuchredux,gcc,2,12,1934,30.603,0,0,%,7.834
fannkuchredux,gcc,2,12,1934,30.906,0,0,%,7.892
fannkuchredux,gcc,2,12,1934,30.875,0,0,%,7.909
fannkuchredux,gcc,2,12,1934,30.642,0,0,%,7.851
fannkuchredux,gcc,2,12,1934,30.855,0,0,%,7.942
fannkuchredux,gcc,2,12,1934,30.578,0,0,%,7.809
fannkuchredux,gcc,1,10,675,0.235,0,0,%,0.240
fannkuchredux,gcc,1,11,675,3.007,0,0,%,3.010
fannkuchredux,gcc,1,12,675,37.446,0,0,%,37.455
fannkuchredux,gcc,1,12,675,37.716,0,0,%,37.721
fannkuchredux,gcc,1,12,675,37.518,0,0,%,37.527
fannkuchredux,gcc,1,12,675,37.477,0,0,%,37.481
fannkuchredux,gcc,1,12,675,37.521,0,0,%,37.529
fannkuchredux,gcc,1,12,675,37.661,0,0,%,37.665
fannkuchredux,gcc,4,10,1936,0.079,0,0,%,0.083
fannkuchredux,gcc,4,11,1936,0.921,0,0,%,0.924
fannkuchredux,gcc,4,12,1936,11.965,0,0,%,11.974
fannkuchredux,gcc,4,12,1936,11.988,0,0,%,11.990
fannkuchredux,gcc,4,12,1936,11.971,0,0,%,11.973
fannkuchredux,gcc,4,12,1936,11.974,0,0,%,11.978
fannkuchredux,gcc,4,12,1936,11.962,0,0,%,11.964
fannkuchredux,gcc,4,12,1936,12.041,0,0,%,12.044
fannkuchredux,gcc,5,10,2262,0.136,0,0,%,0.140
fannkuchredux,gcc,5,11,2262,1.611,0,0,%,1.614
fannkuchredux,gcc,5,12,2262,21.545,0,0,%,21.555
fannkuchredux,gcc,5,12,2262,21.501,0,0,%,21.503
fannkuchredux,gcc,5,12,2262,21.754,0,0,%,21.757
fannkuchredux,gcc,5,12,2262,21.469,0,0,%,21.476
fannkuchredux,gcc,5,12,2262,21.486,0,0,%,21.489
fannkuchredux,gcc,5,12,2262,21.849,0,0,%,21.851
fannkuchredux,gcc,3,10,756,0.165,0,0,%,0.169
fannkuchredux,gcc,3,11,756,1.990,0,0,%,1.993
fannkuchredux,gcc,3,12,756,26.735,0,0,%,26.745
fannkuchredux,gcc,3,12,756,26.687,0,0,%,26.689
fannkuchredux,gcc,3,12,756,26.698,0,0,%,26.702
fannkuchredux,gcc,3,12,756,26.700,0,0,%,26.708
fannkuchredux,gcc,3,12,756,26.647,0,0,%,26.650
fannkuchredux,gcc,3,12,756,26.661,0,0,%,26.665
fannkuchredux,chpl,1,10,919,0.243,0,0,%,0.051
fannkuchredux,chpl,1,11,919,2.532,0,0,%,0.143
fannkuchredux,chpl,1,12,919,33.140,0,0,%,1.430
fannkuchredux,chpl,1,12,919,33.072,0,0,%,1.434
fannkuchredux,chpl,1,12,919,33.420,0,0,%,1.464
fannkuchredux,chpl,1,12,919,33.055,0,0,%,1.427
fannkuchredux,chpl,1,12,919,33.041,0,0,%,1.435
fannkuchredux,chpl,1,12,919,33.030,0,0,%,1.435
fasta,gpp,1,250000,1183,0.024,0,0,%,0.055
fasta,gpp,1,2500000,1183,0.216,0,0,%,0.438
fasta,gpp,1,25000000,1183,2.165,0,0,%,4.301
fasta,gpp,1,25000000,1183,2.022,0,0,%,2.025
fasta,gpp,1,25000000,1183,2.024,0,0,%,2.026
fasta,gpp,1,25000000,1183,2.022,0,0,%,2.025
fasta,gpp,1,25000000,1183,2.023,0,0,%,2.026
fasta,gpp,1,25000000,1183,2.020,0,0,%,2.023
fasta,gcc,7,250000,2919,0.023,0,0,%,0.052
fasta,gcc,7,2500000,2919,0.227,0,0,%,0.444
fasta,gcc,7,25000000,2919,2.214,0,0,%,4.359
fasta,gcc,7,25000000,2919,2.044,0,0,%,2.045
fasta,gcc,7,25000000,2919,2.044,0,0,%,2.046
fasta,gcc,7,25000000,2919,2.046,0,0,%,2.047
fasta,gcc,7,25000000,2919,2.048,0,0,%,2.050
fasta,gcc,7,25000000,2919,2.050,0,0,%,2.052
fasta,gpp,4,250000,1423,0.036,0,0,%,0.064
fasta,gpp,4,2500000,1423,0.337,0,0,%,0.557
fasta,gpp,4,25000000,1423,3.353,0,0,%,5.495
fasta,gpp,4,25000000,1423,3.209,0,0,%,3.213
fasta,gpp,4,25000000,1423,3.210,0,0,%,3.213
fasta,gpp,4,25000000,1423,3.191,0,0,%,3.194
fasta,gpp,4,25000000,1423,3.203,0,0,%,3.206
fasta,gpp,4,25000000,1423,3.205,0,0,%,3.208
fasta,gcc,5,250000,2444,0.018,0,0,%,0.048
fasta,gcc,5,2500000,2444,0.167,0,0,%,0.386
fasta,gcc,5,25000000,2444,1.657,0,0,%,3.791
fasta,gcc,5,25000000,2444,1.507,0,0,%,1.509
fasta,gcc,5,25000000,2444,1.507,0,0,%,1.509
fasta,gcc,5,25000000,2444,1.507,0,0,%,1.508
fasta,gcc,5,25000000,2444,1.507,0,0,%,1.508
